service_id,date,exception_type
SEPT21-D02CAR-1_Weekday-SANTHB0,20211103,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211104,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211105,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211108,2
SEPT21-D02CAR-1_Weekday-SANTHS1,20211109,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211110,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211111,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211112,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211115,2
SEPT21-D02CAR-1_Weekday-SANTHS1,20211116,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211117,2
SEPT21-D03CAR-1_Weekday-MUIRHS1,20211111,2
SEPT21-D03CAR-1_Weekday-LINCHS1-0100000,20211111,2
SEPT21-D03CAR-1_Weekday-LINCHS1-1011100,20211111,2
SEPT21-D03CAR-1_Weekday-NIGHMS1-1000000,20211111,2
SEPT21-D03CAR-1_Weekday-NIGHMS1-0111100,20211111,2
SEPT21-D03CAR-1_Weekday-HOLENB1-1011100,20211111,2
SEPT21-D03CAR-1_Weekday-HOLENB1-0100000,20211111,2
SEPT21-D03CAR-1_Weekday-MARSAM1,20211111,2
SEPT21-D03CAR-1_Weekday-MARSHS1-1011100,20211111,2
SEPT21-D03CAR-1_Weekday-MARSHS1-0100000,20211111,2
SEPT21-D03CAR-1_Weekday-ROOSEV1,20211111,2
SEPT21-D03CAR-1_Weekday-EAGLHS1-1011100,20211111,2
SEPT21-D03CAR-1_Weekday-EAGLHS1-0100000,20211111,2
SEPT21-D07CAR-1_Weekday-LOANHA0,20211103,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211103,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211103,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211103,2
SEPT21-D07CAR-1_Weekday-LOANHA0,20211104,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211104,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211104,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211104,2
SEPT21-D07CAR-1_Weekday-LOANHA0,20211105,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211105,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211105,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211105,2
SEPT21-D07CAR-1_Weekday-LOANHS1,20211108,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211108,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211108,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211108,2
SEPT21-D07CAR-1_Weekday-FAIRHS1,20211109,2
SEPT21-D07CAR-1_Weekday-HOLLHS1,20211109,2
